50 100
40 32 85
18 2 13
27 47 29
39 50 100
24 10 93
30 1 66
26 36 81
9 47 69
37 21 94
13 19 39
7 27 96
36 46 14
34 20 88
8 18 70
10 16 59
48 35 22
16 41 44
10 25 54
21 16 79
25 14 1
12 44 22
12 20 95
42 37 50
44 17 82
31 17 46
47 50 38
30 22 86
4 49 99
19 1 88
41 38 8
47 17 83
39 25 29
11 14 72
41 4 54
22 39 94
35 4 74
23 37 60
28 26 15
38 29 95
31 22 9
25 37 9
9 21 9
38 50 43
1 14 85
25 22 81
10 48 9
9 12 93
44 16 72
11 21 15
46 24 13
2 20 9
30 39 90
2 33 37
50 45 65
2 45 82
34 38 84
12 36 36
2 7 98
39 29 54
47 38 59
2 27 41
8 22 62
48 39 85
37 11 98
26 7 3
4 37 35
5 1 54
2 7 86
9 13 4
12 5 10
18 45 40
9 8 31
42 1 23
33 10 38
26 11 54
10 19 64
37 1 53
22 28 42
22 7 14
34 36 41
4 10 37
50 44 5
30 24 96
28 46 1
36 6 68
23 20 49
1 35 100
10 9 51
27 17 40
41 12 92
44 2 22
33 11 96
29 48 61
40 33 60
31 46 59
26 22 71
23 34 91
16 19 40
17 22 88
8 28 39
